Category,Reviews,Installs,Type,Size,Price,Content Rating,Genres,Current Version,Rating > 80%
14,8481,1000000.0,0,7.5,0.0,0,24,2,True
17,21223,1000000.0,0,48.0,0.0,1,41,1,True
4,80,10000.0,0,16.0,0.0,0,6,2,True
19,3,100.0,1,23.0,2.99,0,80,1,True
17,3878,500000.0,0,69.0,0.0,0,34,1,True
18,24557,1000000.0,0,24.0,0.0,0,39,1,True
18,472,10000.0,0,4.3,0.0,0,11,2,True
17,109263,1000000.0,0,38.0,0.0,1,34,1,True
17,43576,5000000.0,0,50.0,0.0,0,29,4,True
22,98716,5000000.0,0,59.0,0.0,0,83,5,True
4,76,10000.0,0,0.201,0.0,0,6,2,True
31,413999,5000000.0,0,10.0,0.0,1,95,3,True
18,2387,100000.0,0,6.9,0.0,0,11,2,True
24,17202,5000000.0,0,12.0,0.0,0,84,4,True
6,5,100.0,0,15.0,0.0,0,9,1,True
31,190888,10000000.0,0,11.0,0.0,1,95,5,True
27,596,50000.0,0,22.0,0.0,0,88,1,True
17,3778921,100000000.0,0,75.0,0.0,0,29,3,True
18,55,1000.0,0,1.5,0.0,0,11,1,True
25,29,10000.0,0,0.07,0.0,0,86,1,True
25,177,10000.0,0,2.8,0.0,0,86,1,True
23,152867,10000000.0,0,17.0,0.0,0,36,3,True
16,74,5000.0,0,2.9,0.0,1,26,1,True
4,31614,10000000.0,0,37.0,0.0,0,6,4,True
24,6,500.0,0,2.4,0.0,0,84,7,True
18,96658,1000000.0,0,26.0,0.0,2,44,2,True
17,804,10000.0,0,27.0,0.0,0,34,1,True
17,1563,50000.0,0,40.0,0.0,1,41,1,True
17,387,50000.0,0,1.1,0.0,0,31,1,True
29,29,5000.0,0,3.5,0.0,0,93,1,True
